,Producto,Precio,Unidades Vendidas,Ciudad,Genero Comprador,Satisfacción Cliente,Tiempo de Envío (días),Total Ventas
4277,Mouse,850,144,Valencia,M,9,7,122400
4278,Monitor,149,274,Portugal,F,2,9,40826
4279,Laptop,1652,61,Barcelona,M,7,10,100772
4280,Audifonos,1288,137,Portugal,F,9,13,176456
4281,Smartphone,1050,57,Barcelona,M,8,8,59850
4282,Laptop,1814,138,Barcelona,M,4,14,250332
4283,Monitor,1534,146,Portugal,F,1,7,223964
4284,Teclado,1997,75,Barcelona,F,6,3,149775
4285,Audifonos,1666,25,Valencia,M,2,7,41650
4286,Mouse,1900,195,Portugal,F,7,1,370500
4287,Audifonos,1637,217,Portugal,F,9,10,355229
4288,Monitor,1409,141,Madrid,M,7,11,198669
4289,Smartphone,1709,266,Barcelona,M,6,3,454594
4290,Mouse,942,28,Valencia,M,1,7,26376
4291,Audifonos,834,76,Valencia,M,5,14,63384
4292,Audifonos,1470,177,Madrid,M,5,14,260190
4293,Smartphone,1727,118,Portugal,F,2,7,203786
4294,Laptop,1936,28,Valencia,M,3,13,54208
4295,Monitor,76,212,Barcelona,M,1,1,16112
4296,Teclado,212,212,Barcelona,M,7,6,44944
4297,Teclado,820,283,Valencia,M,1,13,232060
4298,Monitor,475,242,Portugal,F,3,7,114950
4299,Laptop,1653,86,Portugal,M,3,3,142158
4300,Laptop,905,2,Valencia,M,9,3,1810
4301,Monitor,411,299,Valencia,F,1,5,122889
4302,Monitor,982,200,Madrid,M,3,7,196400
4303,Mouse,1822,222,Valencia,M,8,7,404484
4304,Laptop,1146,211,Portugal,M,2,7,241806
4305,Teclado,1578,283,Barcelona,M,8,9,446574
4306,Mouse,1981,139,Valencia,F,7,8,275359
4307,Smartphone,1542,76,Barcelona,F,1,10,117192
4308,Teclado,890,101,Valencia,F,1,6,89890
4309,Smartphone,320,122,Madrid,M,1,7,39040
4310,Mouse,853,108,Portugal,F,1,4,92124
4311,Teclado,1236,270,Barcelona,M,6,9,333720
4312,Audifonos,748,252,Barcelona,F,4,3,188496
4313,Smartphone,384,24,Barcelona,M,2,8,9216
4314,Audifonos,381,118,Barcelona,F,8,6,44958
4315,Mouse,868,21,Madrid,M,5,8,18228
4316,Audifonos,1799,279,Barcelona,M,6,9,501921
4317,Laptop,961,197,Madrid,M,4,7,189317
4318,Smartphone,1842,291,Madrid,M,3,8,536022
4319,Laptop,1377,36,Madrid,M,1,2,49572
4320,Laptop,519,267,Barcelona,M,3,7,138573
4321,Teclado,1428,237,Valencia,F,2,13,338436
4322,Mouse,1249,153,Portugal,F,6,4,191097
4323,Mouse,101,243,Madrid,F,6,8,24543
4324,Laptop,850,85,Madrid,M,3,14,72250
4325,Laptop,1401,4,Portugal,M,1,8,5604
4326,Smartphone,513,222,Valencia,F,7,7,113886
4327,Laptop,994,248,Valencia,M,3,1,246512
4328,Teclado,1990,271,Valencia,M,2,5,539290
4329,Audifonos,200,290,Portugal,F,1,5,58000
4330,Smartphone,310,286,Barcelona,M,8,3,88660
4331,Laptop,435,138,Barcelona,F,2,5,60030
4332,Mouse,1763,99,Barcelona,M,8,1,174537
4333,Laptop,735,112,Madrid,F,3,6,82320
4334,Teclado,1520,170,Barcelona,M,7,4,258400
4335,Smartphone,1302,232,Portugal,M,7,2,302064
4336,Laptop,427,202,Portugal,M,1,7,86254
4337,Laptop,223,227,Valencia,F,4,7,50621
4338,Monitor,432,81,Valencia,F,8,5,34992
4339,Teclado,761,250,Madrid,M,3,5,190250
4340,Mouse,441,232,Barcelona,F,6,9,102312
4341,Mouse,1022,122,Portugal,M,2,9,124684
4342,Teclado,449,129,Portugal,F,1,6,57921
4343,Mouse,975,201,Madrid,F,2,14,195975
4344,Teclado,1221,39,Madrid,M,1,12,47619
4345,Monitor,616,133,Madrid,F,5,10,81928
4346,Audifonos,1065,89,Barcelona,M,7,10,94785
4347,Teclado,1869,224,Valencia,M,6,1,418656
4348,Audifonos,165,159,Valencia,M,2,8,26235
4349,Audifonos,662,157,Portugal,F,4,13,103934
4350,Monitor,879,17,Portugal,M,2,9,14943
4351,Smartphone,1574,233,Madrid,M,3,10,366742
4352,Audifonos,502,31,Madrid,F,8,3,15562
4353,Audifonos,927,234,Barcelona,F,2,6,216918
4354,Mouse,1960,67,Madrid,F,5,8,131320
4355,Audifonos,543,257,Madrid,M,1,6,139551
4356,Audifonos,1059,37,Barcelona,F,4,4,39183
4357,Mouse,123,199,Madrid,M,1,6,24477
4358,Smartphone,546,74,Barcelona,F,3,12,40404
4359,Monitor,1920,280,Madrid,F,6,8,537600
4360,Mouse,1135,128,Portugal,M,2,12,145280
4361,Smartphone,1565,118,Valencia,M,6,1,184670
4362,Audifonos,98,264,Madrid,M,6,2,25872
4363,Monitor,1882,232,Portugal,F,8,11,436624
4364,Smartphone,1039,87,Barcelona,F,5,13,90393
4365,Audifonos,1652,152,Portugal,M,6,2,251104
4366,Monitor,803,19,Valencia,F,4,12,15257
4367,Mouse,529,22,Barcelona,M,8,14,11638
4368,Teclado,973,82,Valencia,M,5,4,79786
4369,Mouse,1736,126,Barcelona,F,9,9,218736
4370,Smartphone,1430,95,Barcelona,F,4,4,135850
4371,Teclado,258,59,Barcelona,M,2,9,15222
4372,Teclado,251,108,Barcelona,M,4,2,27108
4373,Monitor,1235,101,Valencia,F,9,9,124735
4374,Smartphone,1480,80,Valencia,M,5,7,118400
4375,Mouse,777,24,Barcelona,M,9,7,18648
4376,Mouse,1148,225,Barcelona,F,4,6,258300
4377,Teclado,1237,77,Portugal,F,6,3,95249
4378,Audifonos,1462,274,Portugal,M,7,8,400588
4379,Audifonos,1682,179,Portugal,M,5,6,301078
4380,Monitor,932,128,Valencia,M,1,7,119296
4381,Laptop,1993,133,Barcelona,M,7,3,265069
4382,Laptop,1299,258,Valencia,M,5,3,335142
4383,Mouse,1246,33,Portugal,M,9,2,41118
4384,Laptop,516,245,Portugal,F,4,3,126420
4385,Smartphone,1992,122,Madrid,M,6,2,243024
4386,Mouse,740,112,Portugal,M,9,3,82880
4387,Mouse,923,209,Madrid,F,1,4,192907
4388,Laptop,1212,248,Valencia,M,4,2,300576
4389,Teclado,1885,128,Portugal,F,2,7,241280
4390,Monitor,1570,174,Portugal,M,7,9,273180
4391,Laptop,1479,215,Portugal,M,8,13,317985
4392,Audifonos,1728,203,Portugal,F,8,2,350784
4393,Mouse,1517,191,Valencia,M,9,4,289747
4394,Audifonos,1218,299,Barcelona,M,6,13,364182
4395,Teclado,50,188,Valencia,M,4,5,9400
4396,Monitor,546,245,Madrid,M,5,4,133770
4397,Teclado,766,117,Barcelona,M,9,11,89622
4398,Laptop,86,184,Portugal,F,4,12,15824
4399,Laptop,58,176,Portugal,F,9,3,10208
4400,Monitor,1255,108,Madrid,M,3,3,135540
4401,Laptop,346,157,Valencia,F,6,12,54322
4402,Mouse,1527,19,Barcelona,M,9,8,29013
4403,Mouse,1620,247,Portugal,F,6,1,400140
4404,Monitor,1207,74,Portugal,M,5,10,89318
4405,Monitor,1696,240,Madrid,M,5,12,407040
4406,Teclado,550,174,Valencia,M,4,6,95700
4407,Smartphone,179,212,Valencia,F,3,4,37948
4408,Smartphone,605,100,Madrid,M,9,12,60500
4409,Laptop,1362,246,Portugal,F,5,9,335052
4410,Smartphone,465,79,Valencia,M,1,4,36735
4411,Monitor,1333,101,Valencia,M,1,14,134633
4412,Monitor,714,276,Madrid,M,6,9,197064
4413,Monitor,516,291,Valencia,M,3,10,150156
4414,Monitor,1422,164,Portugal,F,7,5,233208
4415,Laptop,1322,236,Portugal,F,4,12,311992
4416,Mouse,1321,74,Madrid,F,4,7,97754
4417,Audifonos,944,294,Barcelona,F,5,3,277536
4418,Monitor,377,213,Valencia,F,3,1,80301
4419,Monitor,1974,19,Barcelona,M,8,14,37506
4420,Mouse,717,72,Madrid,F,9,14,51624
4421,Audifonos,1839,198,Portugal,F,5,14,364122
4422,Mouse,1975,122,Valencia,F,2,11,240950
4423,Teclado,1047,142,Valencia,F,2,4,148674
4424,Laptop,1831,178,Madrid,F,8,12,325918
4425,Monitor,1876,169,Barcelona,M,6,2,317044
4426,Laptop,284,70,Barcelona,F,1,3,19880
4427,Laptop,878,112,Madrid,F,2,8,98336
4428,Teclado,1167,43,Portugal,F,8,6,50181
4429,Audifonos,961,54,Valencia,F,6,11,51894
4430,Laptop,1591,213,Valencia,M,8,9,338883
4431,Mouse,932,119,Barcelona,F,1,9,110908
4432,Monitor,943,195,Valencia,M,8,13,183885
4433,Audifonos,58,150,Portugal,M,2,7,8700
4434,Monitor,1053,183,Portugal,F,4,6,192699
4435,Audifonos,1790,101,Portugal,F,1,2,180790
4436,Monitor,634,32,Madrid,F,8,7,20288
4437,Smartphone,198,200,Portugal,M,8,7,39600
4438,Smartphone,1817,85,Barcelona,F,5,1,154445
4439,Audifonos,1043,150,Barcelona,F,4,13,156450
4440,Mouse,1886,31,Barcelona,F,2,7,58466
4441,Smartphone,1544,91,Valencia,M,4,1,140504
4442,Smartphone,1063,99,Portugal,M,9,14,105237
4443,Laptop,264,107,Madrid,F,5,5,28248
4444,Smartphone,228,99,Madrid,F,8,7,22572
4445,Mouse,441,287,Portugal,F,3,6,126567
4446,Monitor,324,40,Madrid,M,6,5,12960
4447,Audifonos,1967,40,Portugal,M,6,7,78680
4448,Teclado,1548,81,Barcelona,F,7,8,125388
4449,Laptop,741,19,Valencia,M,7,4,14079
4450,Audifonos,183,101,Barcelona,M,1,5,18483
4451,Laptop,1877,118,Portugal,F,9,9,221486
4452,Laptop,1913,4,Madrid,F,6,3,7652
4453,Audifonos,161,46,Portugal,F,4,9,7406
4454,Audifonos,1665,189,Valencia,M,2,3,314685
4455,Monitor,1983,116,Portugal,F,4,4,230028
4456,Teclado,1812,272,Madrid,F,6,8,492864
4457,Smartphone,66,221,Madrid,M,2,10,14586
4458,Mouse,1217,222,Madrid,F,7,8,270174
4459,Smartphone,1913,71,Portugal,F,9,1,135823
4460,Laptop,1719,287,Valencia,F,4,9,493353
4461,Laptop,1296,257,Barcelona,F,2,5,333072
4462,Smartphone,872,171,Portugal,F,3,12,149112
4463,Laptop,1483,118,Portugal,M,9,10,174994
4464,Smartphone,486,265,Barcelona,F,1,5,128790
4465,Audifonos,416,83,Madrid,F,5,5,34528
4466,Mouse,1461,60,Portugal,F,7,3,87660
4467,Laptop,1478,223,Valencia,M,3,11,329594
4468,Audifonos,856,247,Valencia,M,2,6,211432
4469,Smartphone,97,78,Valencia,F,7,11,7566
4470,Monitor,943,203,Valencia,F,3,12,191429
4471,Smartphone,1460,193,Barcelona,F,7,4,281780
4472,Mouse,1533,82,Portugal,F,7,1,125706
4473,Monitor,222,217,Madrid,M,2,9,48174
4474,Audifonos,1545,233,Portugal,F,1,7,359985
4475,Audifonos,1160,210,Portugal,F,8,11,243600
4476,Teclado,123,136,Valencia,F,6,3,16728
4477,Audifonos,1205,136,Portugal,F,3,13,163880
4478,Laptop,916,49,Portugal,M,7,7,44884
4479,Monitor,639,119,Portugal,F,8,1,76041
4480,Monitor,1571,91,Madrid,F,8,1,142961
4481,Audifonos,218,32,Valencia,F,3,11,6976
4482,Smartphone,783,228,Barcelona,M,9,7,178524
4483,Smartphone,220,275,Portugal,M,7,10,60500
4484,Monitor,1524,298,Valencia,F,1,8,454152
4485,Monitor,582,115,Portugal,F,2,5,66930
4486,Audifonos,478,113,Portugal,F,1,3,54014
4487,Monitor,858,268,Barcelona,F,8,8,229944
4488,Laptop,408,151,Barcelona,M,2,7,61608
4489,Smartphone,1038,171,Valencia,F,8,5,177498
4490,Audifonos,1040,123,Barcelona,M,1,12,127920
4491,Teclado,97,217,Valencia,M,2,7,21049
4492,Smartphone,510,153,Madrid,M,7,11,78030
4493,Teclado,1530,230,Madrid,F,9,1,351900
4494,Monitor,1963,161,Portugal,M,8,4,316043
4495,Smartphone,1058,138,Madrid,M,5,1,146004
4496,Teclado,67,52,Portugal,F,5,9,3484
4497,Mouse,1304,219,Barcelona,F,3,13,285576
4498,Audifonos,683,157,Barcelona,F,8,8,107231
4499,Smartphone,97,255,Valencia,F,1,2,24735
4500,Audifonos,1685,54,Valencia,M,1,3,90990
4501,Monitor,423,131,Portugal,M,8,1,55413
4502,Laptop,475,151,Barcelona,F,2,6,71725
4503,Laptop,1390,266,Barcelona,M,3,1,369740
4504,Laptop,1825,118,Valencia,M,2,12,215350
4505,Monitor,125,127,Barcelona,M,6,2,15875
4506,Smartphone,154,175,Valencia,M,2,2,26950
4507,Laptop,480,275,Portugal,F,9,8,132000
4508,Monitor,967,157,Barcelona,F,3,10,151819
4509,Laptop,1797,297,Valencia,F,6,2,533709
4510,Laptop,949,215,Portugal,M,5,2,204035
4511,Smartphone,1088,111,Madrid,F,6,3,120768
4512,Smartphone,1786,116,Valencia,F,1,8,207176
4513,Monitor,940,97,Madrid,M,6,5,91180
4514,Audifonos,319,101,Barcelona,M,5,12,32219
4515,Teclado,1416,171,Barcelona,M,8,5,242136
4516,Mouse,1053,181,Valencia,F,9,9,190593
4517,Audifonos,1124,255,Barcelona,F,6,10,286620
4518,Mouse,868,29,Barcelona,F,2,11,25172
4519,Audifonos,1352,194,Portugal,F,2,4,262288
4520,Smartphone,1980,39,Portugal,F,4,11,77220
4521,Laptop,205,93,Madrid,M,1,6,19065
4522,Smartphone,1293,170,Barcelona,F,7,13,219810
4523,Smartphone,1649,268,Valencia,F,5,6,441932
4524,Mouse,50,14,Barcelona,F,2,4,700
4525,Laptop,1831,256,Barcelona,F,2,2,468736
4526,Mouse,1235,218,Valencia,F,2,11,269230
4527,Mouse,1026,176,Barcelona,M,8,9,180576
4528,Smartphone,1125,149,Madrid,M,7,14,167625
4529,Mouse,758,12,Barcelona,M,2,9,9096
4530,Audifonos,537,103,Valencia,M,6,5,55311
4531,Teclado,1916,177,Barcelona,F,4,11,339132
4532,Audifonos,1365,234,Valencia,F,5,11,319410
4533,Mouse,1587,176,Valencia,M,7,12,279312
4534,Smartphone,1243,281,Madrid,M,1,8,349283
4535,Monitor,479,245,Valencia,F,3,13,117355
4536,Mouse,97,49,Portugal,M,5,2,4753
4537,Mouse,1184,62,Barcelona,F,6,12,73408
4538,Teclado,297,210,Madrid,M,8,8,62370
4539,Laptop,759,224,Barcelona,F,5,4,170016
4540,Mouse,264,240,Portugal,M,6,9,63360
4541,Mouse,1254,203,Barcelona,F,5,13,254562
4542,Mouse,929,283,Barcelona,M,3,11,262907
4543,Teclado,1829,192,Madrid,F,5,6,351168
4544,Monitor,1760,99,Valencia,F,7,9,174240
4545,Monitor,1770,130,Madrid,F,1,7,230100
4546,Smartphone,856,7,Valencia,M,1,7,5992
4547,Mouse,1119,271,Barcelona,F,2,3,303249
4548,Smartphone,918,57,Valencia,F,1,4,52326
4549,Monitor,1918,13,Barcelona,M,4,2,24934
4550,Audifonos,1195,188,Barcelona,F,6,9,224660
4551,Smartphone,426,260,Valencia,F,3,3,110760
4552,Monitor,1219,185,Barcelona,M,9,5,225515
4553,Audifonos,143,76,Portugal,F,6,10,10868
4554,Laptop,325,18,Barcelona,M,1,2,5850
4555,Laptop,1862,85,Valencia,F,6,7,158270
4556,Audifonos,171,233,Portugal,M,3,10,39843
4557,Monitor,1664,234,Madrid,M,4,9,389376
4558,Teclado,1994,38,Portugal,F,1,9,75772
4559,Audifonos,1155,62,Barcelona,M,1,10,71610
4560,Smartphone,547,39,Valencia,M,6,6,21333
4561,Audifonos,702,203,Valencia,F,7,13,142506
4562,Audifonos,1588,68,Portugal,F,1,14,107984
4563,Audifonos,750,102,Valencia,F,7,14,76500
4564,Monitor,735,112,Portugal,F,3,4,82320
4565,Audifonos,1362,60,Valencia,F,1,7,81720
4566,Mouse,1106,163,Valencia,M,2,8,180278
4567,Mouse,943,38,Valencia,M,1,7,35834
4568,Audifonos,259,147,Portugal,M,5,12,38073
4569,Monitor,1912,50,Barcelona,F,8,8,95600
4570,Smartphone,1058,48,Barcelona,M,4,10,50784
4571,Mouse,1892,191,Portugal,M,2,1,361372
4572,Mouse,1365,39,Madrid,F,1,11,53235
4573,Smartphone,596,39,Portugal,M,2,9,23244
4574,Teclado,1882,133,Valencia,F,1,3,250306
4575,Mouse,668,114,Barcelona,M,9,6,76152
4576,Teclado,691,49,Valencia,M,9,7,33859
4577,Laptop,987,263,Valencia,M,1,9,259581
4578,Mouse,66,106,Barcelona,F,7,7,6996
4579,Teclado,700,27,Portugal,M,8,2,18900
4580,Mouse,1176,158,Barcelona,F,6,12,185808
4581,Monitor,983,269,Valencia,F,1,10,264427
4582,Audifonos,804,252,Madrid,M,2,11,202608
4583,Teclado,1907,65,Portugal,M,3,8,123955
4584,Laptop,299,256,Portugal,M,2,12,76544
4585,Laptop,375,33,Portugal,M,9,6,12375
4586,Smartphone,1445,284,Valencia,M,3,11,410380
4587,Mouse,418,229,Barcelona,F,2,6,95722
4588,Teclado,1629,147,Portugal,F,4,13,239463
4589,Monitor,779,93,Barcelona,M,8,14,72447
4590,Teclado,1611,194,Barcelona,F,8,5,312534
4591,Audifonos,1397,179,Valencia,F,8,8,250063
4592,Mouse,247,115,Barcelona,F,7,14,28405
4593,Monitor,195,283,Portugal,F,1,4,55185
4594,Mouse,589,190,Barcelona,M,1,3,111910
4595,Teclado,1640,9,Portugal,M,2,2,14760
4596,Mouse,531,188,Madrid,F,1,13,99828
4597,Laptop,627,95,Madrid,F,5,7,59565
4598,Teclado,476,156,Portugal,M,1,5,74256
4599,Mouse,289,69,Madrid,F,9,14,19941
4600,Audifonos,1291,235,Valencia,M,3,8,303385
4601,Smartphone,1954,251,Barcelona,F,7,2,490454
4602,Mouse,1553,267,Valencia,M,7,11,414651
4603,Teclado,1399,53,Madrid,F,6,13,74147
4604,Smartphone,1957,299,Valencia,M,5,9,585143
4605,Audifonos,726,234,Madrid,M,3,11,169884
4606,Mouse,1662,4,Barcelona,F,6,9,6648
4607,Monitor,58,23,Valencia,F,6,1,1334
4608,Laptop,1249,202,Portugal,F,7,10,252298
4609,Teclado,319,135,Portugal,M,7,11,43065
4610,Monitor,1170,18,Portugal,F,8,7,21060
4611,Smartphone,215,60,Portugal,M,2,5,12900
4612,Mouse,1562,28,Valencia,F,5,5,43736
4613,Audifonos,698,185,Portugal,M,9,2,129130
4614,Smartphone,1905,34,Madrid,F,4,3,64770
4615,Monitor,812,62,Barcelona,M,6,11,50344
4616,Teclado,616,225,Madrid,F,8,1,138600
4617,Mouse,1389,203,Valencia,F,4,12,281967
4618,Smartphone,661,205,Valencia,F,6,4,135505
4619,Audifonos,1251,204,Valencia,M,8,14,255204
4620,Laptop,337,270,Madrid,F,5,1,90990
4621,Teclado,1207,220,Madrid,M,5,4,265540
4622,Audifonos,110,41,Madrid,M,8,5,4510
4623,Teclado,1482,211,Barcelona,F,1,10,312702
4624,Mouse,620,124,Barcelona,M,4,11,76880
4625,Smartphone,469,3,Portugal,F,8,1,1407
4626,Monitor,142,244,Barcelona,F,1,5,34648
4627,Audifonos,1246,245,Madrid,F,3,1,305270
4628,Audifonos,626,288,Barcelona,M,2,7,180288
4629,Smartphone,736,67,Madrid,F,6,8,49312
4630,Mouse,263,239,Barcelona,F,8,1,62857
4631,Laptop,1289,182,Madrid,F,2,4,234598
4632,Audifonos,1254,145,Barcelona,M,9,5,181830
4633,Teclado,1852,232,Madrid,F,3,9,429664
4634,Laptop,1544,227,Valencia,F,8,7,350488
4635,Mouse,1245,299,Portugal,F,5,2,372255
4636,Monitor,1726,174,Barcelona,M,1,6,300324
4637,Teclado,1886,50,Valencia,F,7,1,94300
4638,Smartphone,925,31,Valencia,M,2,3,28675
4639,Monitor,1218,90,Madrid,M,7,4,109620
4640,Smartphone,866,274,Valencia,M,7,1,237284
4641,Laptop,401,71,Portugal,F,5,12,28471
4642,Audifonos,1987,110,Madrid,M,7,1,218570
4643,Teclado,1364,118,Portugal,F,9,4,160952
4644,Teclado,686,53,Portugal,M,5,6,36358
4645,Monitor,421,30,Barcelona,F,5,4,12630
4646,Teclado,744,291,Barcelona,M,1,14,216504
4647,Mouse,711,147,Valencia,F,5,12,104517
4648,Monitor,1778,64,Valencia,F,6,8,113792
4649,Audifonos,1047,1,Portugal,M,3,5,1047
4650,Monitor,1995,171,Madrid,M,1,7,341145
4651,Smartphone,1446,9,Portugal,M,9,11,13014
4652,Monitor,1921,165,Madrid,F,1,10,316965
4653,Teclado,495,4,Portugal,M,2,10,1980
4654,Monitor,1777,77,Madrid,F,2,3,136829
4655,Smartphone,1275,3,Madrid,F,2,6,3825
4656,Audifonos,469,157,Madrid,F,2,7,73633
4657,Audifonos,1535,72,Barcelona,F,2,9,110520
4658,Laptop,1855,149,Portugal,F,8,2,276395
4659,Smartphone,1076,87,Barcelona,F,7,10,93612
4660,Laptop,605,288,Barcelona,F,3,6,174240
4661,Audifonos,185,56,Madrid,M,9,13,10360
4662,Laptop,1731,14,Valencia,M,5,10,24234
4663,Monitor,1125,163,Valencia,F,2,14,183375
4664,Smartphone,1983,35,Barcelona,M,9,5,69405
4665,Laptop,1223,66,Barcelona,F,5,4,80718
4666,Teclado,994,137,Valencia,F,9,10,136178
4667,Monitor,819,266,Portugal,M,8,11,217854
4668,Smartphone,1271,98,Barcelona,F,4,9,124558
4669,Laptop,1483,135,Portugal,M,9,11,200205
4670,Audifonos,343,289,Madrid,M,8,7,99127
4671,Laptop,850,249,Portugal,F,8,4,211650
4672,Smartphone,796,15,Valencia,F,8,8,11940
4673,Mouse,657,261,Madrid,F,8,2,171477
4674,Monitor,175,102,Barcelona,F,6,10,17850
4675,Mouse,760,125,Barcelona,F,8,13,95000
4676,Teclado,453,202,Portugal,F,2,12,91506
4677,Laptop,1184,28,Valencia,M,5,1,33152
4678,Smartphone,192,69,Barcelona,F,4,3,13248
4679,Audifonos,297,145,Portugal,F,2,2,43065
4680,Mouse,1759,75,Valencia,M,7,5,131925
4681,Mouse,844,53,Barcelona,M,5,6,44732
4682,Audifonos,1943,298,Portugal,F,5,4,579014
4683,Mouse,1015,293,Valencia,M,6,9,297395
4684,Audifonos,1137,139,Madrid,M,8,11,158043
4685,Audifonos,957,54,Barcelona,F,9,14,51678
4686,Teclado,503,279,Portugal,F,4,11,140337
4687,Monitor,1785,207,Valencia,F,8,8,369495
4688,Smartphone,247,144,Madrid,F,7,12,35568
4689,Mouse,981,273,Barcelona,F,3,5,267813
4690,Laptop,1686,186,Madrid,M,1,13,313596
4691,Audifonos,932,226,Portugal,F,6,11,210632
4692,Smartphone,133,242,Madrid,F,6,2,32186
4693,Laptop,432,273,Madrid,M,1,11,117936
4694,Laptop,1977,133,Portugal,M,8,3,262941
4695,Smartphone,626,274,Barcelona,M,2,7,171524
4696,Audifonos,1985,279,Portugal,F,9,7,553815
4697,Mouse,1379,17,Portugal,M,3,1,23443
4698,Smartphone,1785,154,Portugal,F,4,8,274890
4699,Laptop,1919,198,Barcelona,M,9,7,379962
4700,Monitor,823,89,Barcelona,M,4,5,73247
4701,Teclado,1628,170,Valencia,F,3,13,276760
4702,Mouse,56,180,Portugal,F,4,2,10080
4703,Smartphone,739,270,Portugal,M,8,4,199530
4704,Teclado,561,196,Valencia,M,1,12,109956
4705,Audifonos,1763,167,Madrid,F,4,8,294421
4706,Teclado,1220,274,Portugal,M,6,14,334280
4707,Laptop,1096,92,Barcelona,M,9,12,100832
4708,Smartphone,708,227,Madrid,M,9,5,160716
4709,Monitor,1006,252,Valencia,F,3,12,253512
4710,Smartphone,1174,278,Valencia,M,6,9,326372
4711,Audifonos,1231,276,Barcelona,M,9,6,339756
4712,Mouse,529,124,Madrid,M,5,7,65596
4713,Teclado,1096,76,Barcelona,F,8,8,83296
4714,Teclado,259,280,Barcelona,M,6,14,72520
4715,Laptop,1585,13,Valencia,M,5,13,20605
4716,Smartphone,185,208,Valencia,F,3,12,38480
4717,Monitor,1401,202,Madrid,M,8,11,283002
4718,Laptop,1288,39,Portugal,F,6,7,50232
4719,Audifonos,434,175,Barcelona,F,3,11,75950
4720,Laptop,80,129,Madrid,F,5,8,10320
4721,Laptop,1966,162,Barcelona,M,4,10,318492
4722,Smartphone,1209,5,Portugal,M,8,13,6045
4723,Teclado,1552,103,Barcelona,M,5,9,159856
4724,Teclado,1867,219,Barcelona,M,1,3,408873
4725,Teclado,1946,62,Valencia,F,9,7,120652
4726,Laptop,899,130,Portugal,F,5,5,116870
4727,Laptop,787,135,Valencia,F,3,5,106245
4728,Mouse,760,228,Portugal,M,8,11,173280
4729,Mouse,1856,50,Portugal,F,8,12,92800
4730,Smartphone,904,41,Portugal,F,4,8,37064
4731,Teclado,424,272,Madrid,M,2,6,115328
4732,Mouse,764,53,Madrid,F,7,14,40492
4733,Audifonos,777,198,Portugal,F,9,8,153846
4734,Smartphone,412,164,Valencia,F,6,8,67568
4735,Monitor,1838,112,Portugal,M,8,14,205856
4736,Mouse,662,271,Madrid,F,6,6,179402
4737,Mouse,1245,102,Madrid,M,8,2,126990
4738,Teclado,685,24,Valencia,F,8,3,16440
4739,Audifonos,144,7,Valencia,M,4,3,1008
4740,Audifonos,336,208,Valencia,F,4,1,69888
4741,Laptop,1602,57,Barcelona,F,1,12,91314
4742,Teclado,789,285,Barcelona,F,4,14,224865
4743,Smartphone,660,253,Madrid,M,6,4,166980
4744,Audifonos,1247,108,Madrid,M,4,9,134676
4745,Smartphone,957,272,Barcelona,M,2,13,260304
4746,Audifonos,803,210,Madrid,M,7,7,168630
4747,Teclado,156,32,Valencia,M,7,14,4992
4748,Teclado,1190,240,Madrid,F,4,3,285600
4749,Laptop,62,252,Valencia,F,4,6,15624
4750,Monitor,1364,74,Portugal,M,6,5,100936
4751,Teclado,1400,244,Valencia,F,2,11,341600
4752,Monitor,531,296,Valencia,F,2,3,157176
4753,Smartphone,1432,275,Barcelona,M,6,11,393800
4754,Smartphone,970,38,Valencia,F,8,13,36860
4755,Laptop,1219,53,Portugal,F,6,2,64607
4756,Mouse,1575,36,Barcelona,M,4,2,56700
4757,Mouse,462,206,Barcelona,F,1,1,95172
4758,Monitor,311,215,Valencia,M,6,3,66865
4759,Monitor,404,39,Madrid,F,7,8,15756
4760,Monitor,429,36,Portugal,F,6,3,15444
4761,Mouse,171,162,Valencia,F,5,8,27702
4762,Monitor,565,104,Valencia,M,2,11,58760
4763,Monitor,1558,246,Valencia,F,3,6,383268
4764,Monitor,1902,147,Portugal,M,2,7,279594
4765,Smartphone,1061,265,Valencia,M,8,11,281165
4766,Audifonos,1133,167,Madrid,F,2,4,189211
4767,Teclado,1214,219,Valencia,F,5,8,265866
4768,Mouse,1998,20,Madrid,M,4,6,39960
4769,Teclado,1900,2,Portugal,M,4,10,3800
4770,Teclado,1908,216,Barcelona,M,3,4,412128
4771,Smartphone,1314,226,Madrid,F,4,4,296964
4772,Laptop,1327,203,Barcelona,F,1,1,269381
4773,Monitor,1654,14,Barcelona,M,5,14,23156
4774,Laptop,1656,115,Madrid,M,3,9,190440
4775,Smartphone,1009,7,Barcelona,F,5,7,7063
4776,Laptop,343,111,Madrid,M,1,9,38073
4777,Mouse,1267,93,Portugal,F,8,14,117831
4778,Mouse,1308,169,Barcelona,M,4,7,221052
4779,Audifonos,1173,162,Barcelona,M,1,10,190026
4780,Monitor,78,190,Portugal,M,2,10,14820
4781,Teclado,1565,280,Madrid,F,8,13,438200
4782,Laptop,1314,240,Portugal,F,5,8,315360
4783,Audifonos,565,235,Valencia,F,5,2,132775
4784,Smartphone,739,188,Barcelona,F,7,13,138932
4785,Monitor,220,157,Madrid,M,9,1,34540
4786,Teclado,549,142,Valencia,M,2,7,77958
4787,Teclado,915,186,Portugal,F,8,7,170190
4788,Mouse,1558,203,Barcelona,M,1,12,316274
4789,Teclado,666,112,Barcelona,M,2,13,74592
